Type,,,,,,,,,,,,,,,,,,,,,,,,,
SYPRO_conc,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Compound_conc,O,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317,0.205761317
Compound_conc,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compound_name,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Compound_name,A,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,B,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,C,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,D,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,E,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,F,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,G,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,H,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,I,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,J,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,K,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,L,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,M,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,N,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,O,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Compound_name,P,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir,Vemurafenib,Vemurafenib,Vemurafenib,Miconazole,Miconazole,Miconazole,Clotrimazole,Clotrimazole,Clotrimazole,Ritonavir,Ritonavir,Ritonavir
Protein,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Protein,A,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,B,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,C,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,D,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,E,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,F,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,G,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,H,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,I,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,J,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,K,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,L,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,M,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,N,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,O,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
Protein,P,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme,Lysozyme
